U_PEDAGOGICO
U_TERRAZAS_DEL_ATLANTICO
U_CERRO_GRANDE
U_IUESAPAR
U_UD3_CARICUAO
U_PANAMERICANA
U_PLAZA_MADARIAGA
U_AV_PRESIDENTE_MEDINA
U_RUPERTO_LUGO
U_LAS_ADJUNTAS
U_AV_SAN_MARTIN
U_AV_SUCRE
U_AV_VICTORIA
U_CARICUAO
U_BLANDIN
U_CC_COCHE
U_CC_PROPATRIA
U_COCHE
U_EL_PARAISO
U_HELICOIDE
